,decimal,binary
0,43849,1010101101001001
1,18781,0100100101011101
2,56882,1101111000110010
3,29269,0111001001010101
4,19347,0100101110010011
5,42965,1010011111010101
6,19769,0100110100111001
7,15967,0011111001011111
8,32937,1000000010101001
9,44735,1010111010111111
10,22899,0101100101110011
11,48488,1011110101101000
12,26670,0110100000101110
13,22003,0101010111110011
14,19197,0100101011111101
15,42523,1010011000011011
16,35577,1000101011111001
17,15701,0011110101010101
18,8461,0010000100001101
19,6137,0001011111111001
20,13938,0011011001110010
21,52340,1100110001110100
22,14147,0011011101000011
23,63047,1111011001000111
24,19571,0100110001110011
25,1489,0000010111010001
26,14006,0011011010110110
27,23437,0101101110001101
28,54326,1101010000110110
29,27916,0110110100001100
30,6546,0001100110010010
31,9987,0010011100000011
32,5025,0001001110100001
33,40609,1001111010100001
34,49754,1100001001011010
35,15353,0011101111111001
36,16124,0011111011111100
37,30470,0111011100000110
38,2683,0000101001111011
39,37248,1001000110000000
40,32397,0111111010001101
41,60070,1110101010100110
42,54060,1101001100101100
43,24713,0110000010001001
44,37834,1001001111001010
45,7581,0001110110011101
46,48559,1011110110101111
47,40948,1001111111110100
48,43248,1010100011110000
49,30940,0111100011011100
50,15534,0011110010101110
51,8284,0010000001011100
52,64365,1111101101101101
53,29820,0111010001111100
54,5254,0001010010000110
55,30259,0111011000110011
56,18369,0100011111000001
57,53646,1101000110001110
58,15892,0011111000010100
59,52685,1100110111001101
60,21892,0101010110000100
61,54504,1101010011101000
62,7028,0001101101110100
63,43489,1010100111100001
64,33190,1000000110100110
65,38638,1001011011101110
66,9424,0010010011010000
67,62776,1111010100111000
68,63460,1111011111100100
69,41566,1010001001011110
70,678,0000001010100110
71,10103,0010011101110111
72,60789,1110110101110101
73,27676,0110110000011100
74,16255,0011111101111111
75,45061,1011000000000101
76,35226,1000100110011010
77,24492,0101111110101100
78,28468,0110111100110100
79,43766,1010101011110110
80,17910,0100010111110110
81,55918,1101101001101110
82,40850,1001111110010010
83,25716,0110010001110100
84,10168,0010011110111000
85,26650,0110100000011010
86,27180,0110101000101100
87,42365,1010010101111101
88,21470,0101001111011110
89,27436,0110101100101100
90,36204,1000110101101100
91,52841,1100111001101001
92,34256,1000010111010000
93,60853,1110110110110101
94,57100,1101111100001100
95,61576,1111000010001000
96,22065,0101011000110001
97,62113,1111001010100001
98,20579,0101000001100011
99,32288,0111111000100000
100,3072,0000110000000000
101,54773,1101010111110101
102,35435,1000101001101011
103,45845,1011001100010101
104,25366,0110001100010110
105,41220,1010000100000100
106,4001,0000111110100001
107,20663,0101000010110111
108,22901,0101100101110101
109,65076,1111111000110100
110,8699,0010000111111011
111,36821,1000111111010101
112,25491,0110001110010011
113,24330,0101111100001010
114,16517,0100000010000101
115,59036,1110011010011100
116,32331,0111111001001011
117,44975,1010111110101111
118,56572,1101110011111100
119,392,0000000110001000
120,12586,0011000100101010
121,46916,1011011101000100
122,4631,0001001000010111
123,64292,1111101100100100
124,2322,0000100100010010
125,32130,0111110110000010
126,11730,0010110111010010
127,58201,1110001101011001
128,9631,0010010110011111
129,34172,1000010101111100
130,15285,0011101110110101
131,58528,1110010010100000
132,30992,0111100100010000
133,53512,1101000100001000
134,39629,1001101011001101
135,13145,0011001101011001
136,59151,1110011100001111
137,27890,0110110011110010
138,56793,1101110111011001
139,22011,0101010111111011
140,4373,0001000100010101
141,22741,0101100011010101
142,16279,0011111110010111
143,26669,0110100000101101
144,30579,0111011101110011
145,47322,1011100011011010
146,12780,0011000111101100
147,57079,1101111011110111
148,14611,0011100100010011
149,52189,1100101111011101
150,2805,0000101011110101
151,3512,0000110110111000
152,62133,1111001010110101
153,22568,0101100000101000
154,28113,0110110111010001
155,4614,0001001000000110
156,28483,0110111101000011
157,57832,1110000111101000
158,50376,1100010011001000
159,32144,0111110110010000
160,21455,0101001111001111
161,27652,0110110000000100
162,18228,0100011100110100
163,1453,0000010110101101
164,23433,0101101110001001
165,20221,0100111011111101
166,7339,0001110010101011
167,25640,0110010000101000
168,55388,1101100001011100
169,48106,1011101111101010
170,34062,1000010100001110
171,40992,1010000000100000
172,26428,0110011100111100
173,5209,0001010001011001
174,4233,0001000010001001
175,30459,0111011011111011
176,21555,0101010000110011
177,10844,0010101001011100
178,57180,1101111101011100
179,28354,0110111011000010
180,12262,0010111111100110
181,28535,0110111101110111
182,783,0000001100001111
183,10311,0010100001000111
184,23043,0101101000000011
185,52670,1100110110111110
186,39625,1001101011001001
187,3492,0000110110100100
188,36363,1000111000001011
189,13846,0011011000010110
190,50815,1100011001111111
191,48098,1011101111100010
192,28420,0110111100000100
193,28240,0110111001010000
194,27532,0110101110001100
195,25443,0110001101100011
196,26333,0110011011011101
197,28316,0110111010011100
198,39661,1001101011101101
199,18534,0100100001100110
200,49849,1100001010111001
201,42133,1010010010010101
202,50968,1100011100011000
203,37627,1001001011111011
204,56756,1101110110110100
205,35449,1000101001111001
206,8044,0001111101101100
207,21712,0101010011010000
208,22971,0101100110111011
209,55241,1101011111001001
210,58575,1110010011001111
211,5592,0001010111011000
212,51140,1100011111000100
213,65387,1111111101101011
214,25050,0110000111011010
215,50621,1100010110111101
216,4749,0001001010001101
217,43590,1010101001000110
218,29841,0111010010010001
219,47191,1011100001010111
220,46351,1011010100001111
221,16262,0011111110000110
222,60401,1110101111110001
223,12913,0011001001110001
224,22207,0101011010111111
225,62875,1111010110011011
226,32090,0111110101011010
227,59311,1110011110101111
228,53501,1101000011111101
229,64140,1111101010001100
230,18345,0100011110101001
231,37343,1001000111011111
232,8162,0001111111100010
233,19133,0100101010111101
234,51641,1100100110111001
235,35136,1000100101000000
236,42701,1010011011001101
237,62486,1111010000010110
238,32658,0111111110010010
239,53301,1101000000110101
240,6105,0001011111011001
241,22459,0101011110111011
242,63651,1111100010100011
243,14360,0011100000011000
244,58425,1110010000111001
245,33388,1000001001101100
246,60075,1110101010101011
247,26426,0110011100111010
248,33933,1000010010001101
249,46821,1011011011100101
250,59528,1110100010001000
251,19274,0100101101001010
252,35843,1000110000000011
253,51596,1100100110001100
254,6882,0001101011100010
255,34993,1000100010110001
256,29594,0111001110011010
257,6367,0001100011011111
258,1921,0000011110000001
259,48944,1011111100110000
260,701,0000001010111101
261,5584,0001010111010000
262,44152,1010110001111000
263,8361,0010000010101001
264,37965,1001010001001101
265,61395,1110111111010011
266,52940,1100111011001100
267,35438,1000101001101110
268,16974,0100001001001110
269,8735,0010001000011111
270,17206,0100001100110110
271,31509,0111101100010101
272,14079,0011011011111111
273,10000,0010011100010000
274,47543,1011100110110111
275,52582,1100110101100110
276,18252,0100011101001100
277,57406,1110000000111110
278,52907,1100111010101011
279,42358,1010010101110110
280,41836,1010001101101100
281,135,0000000010000111
282,46774,1011011010110110
283,65328,1111111100110000
284,24540,0101111111011100
285,5653,0001011000010101
286,39161,1001100011111001
287,32954,1000000010111010
288,38913,1001100000000001
289,2532,0000100111100100
290,2174,0000100001111110
291,44972,1010111110101100
292,35422,1000101001011110
293,23353,0101101100111001
294,27009,0110100110000001
295,39679,1001101011111111
296,40089,1001110010011001
297,60804,1110110110000100
298,48902,1011111100000110
299,22779,0101100011111011
300,57281,1101111111000001
301,29728,0111010000100000
302,10474,0010100011101010
303,52651,1100110110101011
304,3184,0000110001110000
305,31202,0111100111100010
306,50270,1100010001011110
307,29869,0111010010101101
308,55541,1101100011110101
309,14474,0011100010001010
310,29757,0111010000111101
311,5494,0001010101110110
312,16825,0100000110111001
313,91,0000000001011011
314,23344,0101101100110000
315,60676,1110110100000100
316,3153,0000110001010001
317,33862,1000010001000110
318,33609,1000001101001001
319,6557,0001100110011101
320,44311,1010110100010111
321,19965,0100110111111101
322,28375,0110111011010111
323,54499,1101010011100011
324,40868,1001111110100100
325,51030,1100011101010110
326,64696,1111110010111000
